author_experience,repository,caused_TR,problematic_integration,lines_added,lines_deleted,files_changed,programming_language,multiple_languages,num_reviewers,num_comments,num_unresolved_comments,num_patchsets,reviewer_experience,past_TRs,active_TRs,critical_TRs,ci_cd_status,hour,day_of_week,time_since_last_commit,test_coverage,documentation_changes,risk_score
3,iot-controller,1,0,60,63,16,Java,0,1,11,5,10,1,5,2,2,failing,4,Tuesday,57,39,0,74.15111724975029
3,auth-service,1,1,253,85,7,Erlang,0,2,14,4,9,3,9,2,2,passing,15,Wednesday,47,80,0,69.02093804266372
1,payment-gateway,0,0,34,95,11,C,0,5,7,5,9,2,0,0,0,passing,11,Saturday,70,99,1,59.29041342860367
2,message-queue,1,1,377,168,11,Python,0,1,15,3,7,1,9,2,3,passing,2,Thursday,11,90,0,77.10779757017568
3,message-queue,0,1,325,105,16,Erlang,1,1,0,4,7,3,19,3,0,failing,15,Sunday,35,89,1,78.478562552045
2,message-queue,0,1,108,50,6,C++,1,2,9,2,1,1,26,5,0,failing,8,Thursday,59,85,0,39.90398398535255
2,payment-gateway,0,1,160,11,12,Java,0,4,1,0,2,2,11,0,0,failing,5,Saturday,22,93,1,42.1204863538854
2,auth-service,1,1,300,86,8,Erlang,1,2,6,3,7,1,22,1,3,failing,9,Saturday,68,94,0,85.37947572095075
2,payment-gateway,0,1,440,110,9,C++,0,5,19,2,9,2,30,1,2,passing,2,Friday,11,65,1,69.97389378443779
3,payment-gateway,0,0,434,31,11,Python,1,1,6,4,5,2,20,5,1,passing,5,Tuesday,5,36,1,42.63422480577135
3,auth-service,0,1,159,150,2,C,1,4,10,2,4,3,29,1,3,failing,15,Tuesday,17,35,0,51.86511870009046
3,data-analytics,0,1,285,155,12,C,0,5,17,1,2,2,13,1,2,passing,23,Thursday,5,96,0,56.36945199835129
3,payment-gateway,0,0,110,128,3,Erlang,0,4,17,5,3,3,24,4,0,passing,9,Monday,49,39,1,55.40346036991557
3,payment-gateway,0,1,448,17,8,Python,0,5,10,5,5,2,24,3,2,failing,1,Thursday,24,48,1,39.12688676933054
2,auth-service,0,1,45,113,5,C++,0,3,18,4,4,1,11,0,2,passing,12,Tuesday,35,32,0,74.1153421345251
1,image-processor,0,0,431,85,20,Erlang,0,4,3,2,7,3,19,1,0,passing,16,Tuesday,60,33,0,53.51432725970549
2,iot-controller,0,1,43,175,9,C,0,5,3,4,3,2,21,0,3,passing,0,Thursday,52,64,0,52.17129675858123
2,message-queue,1,1,236,22,8,Erlang,0,4,3,3,8,1,27,1,2,failing,10,Wednesday,17,83,1,49.61133649098879
3,payment-gateway,0,1,270,46,7,Java,1,1,19,5,4,2,29,3,1,passing,6,Thursday,42,98,1,45.75296720857763
2,data-analytics,0,0,492,118,11,Erlang,0,2,18,2,3,1,25,2,1,failing,22,Sunday,61,72,1,63.476193635117404
1,data-analytics,1,0,200,67,16,C++,0,1,17,1,8,3,20,3,1,failing,5,Wednesday,7,44,0,89.85543595412472
2,image-processor,0,1,268,130,15,C,1,5,17,3,10,3,21,2,0,failing,19,Tuesday,10,51,1,68.02602264658285
2,data-analytics,1,0,74,85,13,C,1,5,2,0,2,2,6,4,3,passing,12,Wednesday,57,74,1,54.990785327725746
1,auth-service,1,1,279,115,12,Erlang,1,3,0,1,6,2,20,3,2,failing,11,Tuesday,41,70,0,77.15315691059826
3,auth-service,0,1,81,96,6,Erlang,1,4,10,1,7,3,6,2,0,failing,1,Tuesday,7,84,0,62.4973974131786
3,message-queue,1,1,398,58,17,C,1,5,18,4,7,2,19,5,3,failing,23,Wednesday,8,32,1,63.84142100362982
2,iot-controller,1,1,51,182,12,Erlang,1,2,10,2,9,1,4,0,0,passing,4,Saturday,35,71,0,98.60589113803942
3,message-queue,0,0,177,176,12,C,0,5,10,2,5,3,27,4,1,failing,15,Tuesday,47,73,1,35.8157104094529
2,message-queue,0,1,414,139,12,C,1,3,2,1,2,1,22,4,0,passing,11,Wednesday,8,88,0,58.265327792293185
3,data-analytics,1,1,233,106,12,Erlang,1,1,9,4,6,2,27,2,0,passing,4,Monday,19,100,1,82.48807535517516
2,message-queue,0,1,76,123,16,C,0,2,11,1,9,1,11,1,2,passing,13,Saturday,29,37,1,79.78993372783485
3,data-analytics,1,1,153,181,3,C++,0,1,14,3,6,1,18,1,1,passing,14,Friday,1,64,1,80.47115442875798
1,image-processor,1,1,163,123,16,Python,0,5,8,2,5,3,29,3,3,failing,0,Sunday,6,84,1,63.22893265563225
1,auth-service,1,0,309,158,2,C,0,2,11,5,8,3,25,2,0,failing,8,Sunday,9,59,1,88.54721425863424
3,image-processor,1,0,285,78,11,Java,0,2,1,5,2,2,27,5,0,passing,20,Thursday,56,81,1,51.08472215989595
2,data-analytics,1,1,469,31,7,C,1,2,6,3,5,2,26,2,3,passing,14,Friday,59,49,0,66.80407063567506
3,auth-service,0,1,421,162,18,Java,0,3,3,2,4,3,20,4,2,passing,5,Monday,25,60,0,61.96451950162954
3,payment-gateway,0,1,354,151,19,C,0,2,6,5,2,3,17,5,0,failing,22,Friday,22,78,1,70.06834249285397
2,payment-gateway,0,1,198,176,1,Java,0,2,20,3,5,3,18,1,2,passing,13,Wednesday,21,52,1,42.12513839813383
2,payment-gateway,0,0,297,44,18,C++,0,4,14,4,2,1,24,0,3,failing,17,Friday,54,64,1,53.487458955263435
1,image-processor,0,1,267,61,12,Java,0,5,2,5,1,3,5,1,2,passing,5,Tuesday,63,73,0,55.04024149398513
1,image-processor,0,1,72,107,12,C++,0,2,5,2,5,1,24,4,2,failing,10,Monday,59,51,0,66.67885458567883
1,auth-service,1,0,19,117,1,C,1,5,6,4,2,1,16,4,1,failing,1,Sunday,61,59,0,89.92369707435945
1,data-analytics,1,1,439,23,8,Python,1,2,13,0,9,2,5,2,0,passing,1,Monday,25,47,0,84.03629859200225
3,data-analytics,1,0,483,75,4,Java,0,2,4,2,3,2,30,2,1,failing,22,Wednesday,59,98,0,48.17832853384803
1,message-queue,0,1,295,107,5,Erlang,1,4,7,5,3,1,18,4,3,passing,3,Saturday,57,63,1,73.03310198371524
3,data-analytics,1,1,293,46,14,Java,0,3,10,4,7,2,13,3,0,passing,4,Friday,43,78,0,72.36524013951974
3,payment-gateway,1,0,238,165,19,Erlang,1,3,8,0,10,1,15,2,0,failing,7,Thursday,39,97,0,69.16508348625176
3,auth-service,0,0,414,120,18,Erlang,1,2,0,1,9,2,21,1,1,passing,16,Friday,15,80,1,64.2321716621881
3,payment-gateway,1,1,158,119,18,Erlang,1,2,20,0,10,3,19,1,0,failing,22,Saturday,38,87,0,89.61081080653283
2,iot-controller,1,1,17,142,9,C,1,3,18,5,2,1,13,5,0,failing,18,Monday,3,91,0,91.41268896650475
2,data-analytics,0,1,426,176,5,C,1,4,13,1,9,1,27,5,2,passing,11,Saturday,65,31,0,78.92327904546036
2,image-processor,0,1,91,149,4,Python,0,5,5,0,8,2,5,3,0,passing,21,Thursday,9,35,1,44.77067807290739
1,message-queue,1,0,430,79,16,Erlang,0,5,7,2,10,2,12,4,0,failing,19,Monday,27,78,1,86.53029366075452
3,payment-gateway,1,0,10,131,17,C++,0,5,13,1,4,3,23,0,3,failing,16,Sunday,10,54,0,79.92050321956962
2,image-processor,1,0,71,112,14,C++,1,2,0,0,1,3,29,3,2,passing,0,Thursday,42,61,0,76.77970517864772
1,image-processor,1,0,227,135,12,C++,1,5,9,5,10,3,0,1,3,failing,15,Sunday,40,68,1,84.3936497962915
3,iot-controller,1,0,120,128,8,Python,0,4,7,3,5,3,20,4,0,passing,10,Monday,43,48,0,56.900807251758394
3,data-analytics,1,1,484,144,9,C,0,4,3,3,10,1,10,5,0,passing,1,Tuesday,13,52,1,67.9388068414132
1,auth-service,0,0,495,184,9,Java,1,2,15,4,5,2,13,0,3,passing,2,Thursday,34,57,1,47.47236464328999
3,auth-service,0,0,79,3,15,C++,1,4,9,4,3,1,7,1,3,failing,23,Monday,29,87,1,48.75754707580576
2,auth-service,0,1,412,88,12,Java,0,1,2,4,6,2,3,4,1,passing,0,Tuesday,2,49,1,64.91310286529901
2,iot-controller,1,1,469,155,18,C++,0,4,1,1,7,3,17,5,2,failing,18,Tuesday,46,61,0,72.909184907702
1,payment-gateway,0,0,50,95,4,Java,0,3,8,5,9,1,26,3,3,passing,13,Sunday,5,38,0,58.22096612234895
2,message-queue,1,0,343,87,11,Java,0,3,12,0,4,1,21,3,3,failing,14,Monday,25,61,1,50.18573866424484
3,auth-service,1,0,376,161,13,Java,0,3,4,1,1,1,19,4,1,failing,16,Tuesday,67,39,1,49.298110442048866
1,image-processor,1,0,404,36,16,C++,1,1,15,3,3,2,17,1,3,passing,9,Thursday,11,42,0,74.90953070082601
2,payment-gateway,0,0,134,62,9,Java,0,4,18,4,4,3,29,3,1,failing,1,Tuesday,33,76,1,23.94895462860023
3,auth-service,1,0,487,174,6,Java,1,5,8,1,5,2,1,5,0,failing,5,Tuesday,62,38,0,67.65264478315521
2,iot-controller,1,1,425,73,18,Python,1,4,10,0,3,2,28,3,3,passing,16,Saturday,69,67,1,57.87548263403137
3,data-analytics,0,0,179,93,18,C,1,5,18,5,4,1,1,0,3,failing,10,Saturday,4,87,0,46.68774083055185
1,message-queue,0,0,83,3,2,C,1,2,0,2,10,3,4,3,1,passing,13,Saturday,72,56,0,49.601295238566
3,auth-service,0,1,70,154,15,Java,1,1,4,2,2,3,30,1,2,passing,3,Thursday,29,35,0,79.53220019653801
1,auth-service,1,0,185,187,18,Python,1,5,10,0,3,3,11,2,1,passing,8,Saturday,34,72,0,71.62686916354947
2,payment-gateway,0,1,37,99,5,C,1,2,13,3,1,1,4,5,1,failing,7,Friday,3,38,1,72.52560605628955
2,auth-service,0,0,343,128,9,Python,1,2,12,2,9,2,3,5,3,failing,23,Sunday,63,83,1,60.29998314014419
3,image-processor,0,0,299,148,4,C++,1,5,12,3,8,2,22,3,0,passing,0,Wednesday,27,60,0,61.185841805472606
1,payment-gateway,1,1,282,67,2,Python,0,5,15,0,6,1,30,5,1,failing,19,Sunday,6,63,1,63.762194372704315
1,image-processor,1,1,389,183,5,Java,1,3,12,2,3,1,27,1,2,failing,3,Tuesday,69,68,0,72.44007138035307
3,auth-service,0,1,37,148,14,Java,0,3,15,1,7,2,29,3,3,failing,4,Monday,69,74,1,71.37520960008332
2,payment-gateway,1,1,348,83,15,Python,1,2,0,1,2,3,5,2,2,failing,16,Saturday,63,47,1,73.07741123418428
2,payment-gateway,1,0,247,65,10,Java,1,4,2,4,4,1,28,0,0,passing,23,Wednesday,52,30,1,61.44968880417313
3,data-analytics,1,0,238,192,6,C++,0,5,13,4,4,1,23,2,2,failing,13,Sunday,21,45,1,64.22339464844248
1,data-analytics,0,1,494,142,10,Java,0,4,6,0,5,2,24,1,0,passing,1,Thursday,51,64,0,42.2420195638408
1,message-queue,0,1,168,138,9,Erlang,1,5,9,4,4,3,28,4,2,passing,16,Thursday,26,91,0,56.60975854174153
2,message-queue,1,1,394,135,14,Erlang,1,4,14,0,1,2,23,1,1,failing,22,Wednesday,60,48,1,75.68266394746914
1,image-processor,0,0,58,138,6,Erlang,0,4,3,3,4,3,22,2,1,passing,8,Friday,47,60,0,49.578263909445894
2,auth-service,0,0,156,122,11,C++,0,3,10,2,3,2,2,3,2,passing,14,Monday,41,45,0,58.11912492993997
3,data-analytics,1,1,90,161,10,Java,1,4,15,5,3,1,17,3,3,failing,8,Thursday,69,89,1,50.5064623173186
3,auth-service,0,1,21,140,15,Java,0,3,2,2,6,2,12,1,3,failing,10,Thursday,18,89,0,50.11026348044276
3,auth-service,0,0,172,60,1,C++,0,2,4,2,8,2,5,5,0,failing,10,Thursday,35,87,0,36.161268712133435
2,message-queue,1,0,349,71,3,Python,1,4,7,4,4,1,24,5,1,failing,10,Saturday,19,32,0,59.535616913346765
1,auth-service,0,0,283,133,10,Python,0,1,16,5,10,1,5,4,1,passing,10,Monday,47,99,1,55.01337465377176
3,auth-service,1,1,52,28,1,Java,1,3,14,5,8,3,0,0,2,passing,13,Thursday,71,45,1,65.48505543051802
2,payment-gateway,1,0,132,45,20,C++,1,3,18,3,1,3,26,2,0,passing,13,Sunday,64,87,0,77.39956541831951
3,iot-controller,1,0,34,130,13,Erlang,0,2,9,0,5,2,21,1,0,passing,16,Sunday,15,44,0,69.43364777074434
1,message-queue,0,1,164,140,12,C,0,5,18,1,2,1,1,2,3,failing,2,Tuesday,58,40,1,59.83795361016463
1,message-queue,1,1,79,189,18,C,1,1,13,5,9,3,9,3,0,passing,21,Thursday,2,76,0,90.6878581251003
1,message-queue,0,1,1,39,1,C,0,1,9,4,10,1,2,5,2,passing,4,Friday,54,86,1,73.74929299976051
2,image-processor,1,1,246,32,7,C++,1,2,6,3,2,2,21,0,1,failing,6,Thursday,12,66,1,58.783693609027154
1,iot-controller,1,1,318,26,19,Erlang,1,5,3,5,8,3,14,2,1,passing,0,Wednesday,72,41,0,93.40345350656135
1,image-processor,1,1,364,80,10,Erlang,0,1,3,2,4,2,21,1,0,failing,2,Wednesday,43,83,1,59.32065633093542
3,image-processor,1,1,377,193,5,Python,1,3,8,2,8,2,20,0,1,passing,5,Saturday,54,78,1,65.85436404841674
3,auth-service,1,0,478,64,12,Python,1,5,10,0,1,3,19,1,2,failing,19,Sunday,13,74,1,57.73517379904854
2,auth-service,0,0,411,0,11,Python,0,2,5,5,6,2,9,4,2,failing,12,Thursday,49,69,1,43.02511837399505
1,message-queue,0,1,328,98,15,C++,1,5,15,2,6,2,24,0,0,failing,8,Saturday,42,100,0,72.27371630747837
1,auth-service,1,0,229,115,16,C,1,1,8,0,2,2,17,5,0,passing,4,Sunday,49,44,1,98.72316962950445
2,message-queue,0,1,284,98,18,C,0,4,6,1,4,2,9,1,0,failing,4,Wednesday,37,99,0,57.54025425092608
1,payment-gateway,1,0,131,52,16,C++,0,3,14,1,3,2,22,4,1,failing,7,Wednesday,31,38,0,68.27075129970692
3,data-analytics,0,0,487,183,13,Erlang,0,4,9,5,8,2,0,1,3,failing,12,Sunday,68,51,1,50.15903249338071
2,data-analytics,1,1,334,109,19,C,1,5,5,0,7,2,15,5,1,failing,3,Monday,8,100,1,81.69252753942422
2,payment-gateway,1,1,271,4,2,C++,1,3,6,5,4,3,9,2,0,passing,20,Monday,67,33,0,84.66975440861931
1,payment-gateway,1,1,461,174,6,C++,0,2,8,5,7,2,22,3,2,failing,4,Wednesday,7,62,0,74.96303822272205
1,payment-gateway,0,1,172,185,2,Java,0,5,7,2,7,3,27,3,1,failing,20,Thursday,56,66,0,62.96825056074854
3,data-analytics,1,0,388,127,10,Erlang,0,1,14,1,8,1,15,5,1,passing,9,Wednesday,39,79,0,64.64523221060347
1,payment-gateway,0,0,10,117,20,C,1,2,9,4,10,2,6,3,1,passing,12,Sunday,60,63,1,61.77385761693066
3,image-processor,1,1,104,193,3,Java,1,1,1,3,3,1,18,5,3,failing,3,Tuesday,35,73,1,56.64297309207725
2,iot-controller,0,1,38,79,13,Java,1,4,16,0,3,2,20,3,1,passing,6,Tuesday,41,32,0,61.6354501501149
2,payment-gateway,1,1,394,154,14,Erlang,1,2,9,2,10,1,25,1,3,failing,22,Friday,28,62,1,82.82490647738373
2,payment-gateway,0,0,454,103,19,Java,0,1,16,5,7,2,25,4,0,failing,12,Monday,22,80,0,58.63924454214382
1,data-analytics,0,0,10,49,16,Python,1,4,19,2,3,3,6,1,0,passing,11,Thursday,6,37,0,48.924356172925215
2,data-analytics,1,1,6,84,9,Erlang,1,2,3,5,9,2,17,1,2,passing,14,Wednesday,62,59,1,63.03553215279256
3,data-analytics,1,1,145,36,2,Erlang,1,4,13,1,8,3,14,3,2,passing,0,Saturday,46,66,1,69.64410487541429
3,payment-gateway,0,1,224,168,18,Erlang,0,4,17,3,4,1,27,3,0,failing,16,Monday,14,42,1,71.1713906391925
1,message-queue,1,1,27,176,13,C,0,5,19,4,8,2,29,4,1,passing,21,Monday,14,71,0,90.09928952486288
2,auth-service,1,1,141,21,14,Java,1,1,3,3,7,2,16,0,1,passing,3,Sunday,17,90,0,74.58819105272575
2,message-queue,1,1,139,154,6,C,0,3,8,4,3,2,10,3,2,passing,12,Tuesday,8,97,0,56.668955143106444
2,message-queue,1,1,181,59,6,Python,0,4,10,0,2,2,26,1,0,passing,15,Sunday,11,83,0,39.59207900661501
2,payment-gateway,1,0,378,88,1,Java,1,3,6,2,4,3,25,0,1,failing,8,Friday,16,60,1,52.499687694330746
2,data-analytics,0,1,307,155,5,Python,1,4,7,4,10,1,0,2,2,failing,19,Friday,56,56,0,66.01681769888349
3,auth-service,0,1,335,36,15,Python,1,1,15,1,5,1,5,0,2,failing,9,Friday,59,76,0,51.85555673747014
1,auth-service,0,1,35,124,16,C,0,4,2,0,6,2,2,1,1,passing,18,Tuesday,14,100,1,63.60869872233153
2,data-analytics,1,0,439,138,12,Python,1,1,5,3,10,3,13,5,1,failing,12,Sunday,55,79,1,70.08706638248256
2,auth-service,1,1,419,92,17,Python,0,2,13,1,2,2,1,4,1,failing,2,Sunday,23,47,0,77.73533074756232
2,auth-service,0,0,448,162,4,C++,0,1,19,3,7,1,10,1,3,failing,17,Thursday,16,86,1,51.7048985117991
3,iot-controller,0,1,452,200,13,Java,1,4,19,1,1,2,11,5,1,failing,6,Wednesday,70,89,0,57.53493176122896
2,data-analytics,0,1,286,122,12,Java,0,1,9,5,3,1,10,2,1,failing,23,Thursday,41,100,0,56.60634584859312
2,message-queue,1,1,470,73,14,C,1,4,1,5,1,3,11,2,1,failing,1,Wednesday,37,48,1,70.96552426986425
2,auth-service,1,1,172,121,20,C,1,2,9,2,7,1,15,2,0,failing,8,Saturday,17,82,0,82.82463407922774
2,data-analytics,1,0,274,23,19,Python,0,3,4,5,10,2,5,5,3,failing,21,Monday,52,96,1,67.01382023804126
2,image-processor,0,1,152,50,8,Erlang,0,3,17,0,8,3,22,1,3,failing,12,Saturday,46,34,0,61.062534959652766
2,data-analytics,0,0,425,167,5,Python,1,4,7,4,8,3,29,2,1,failing,17,Friday,67,81,1,49.207530504462994
2,data-analytics,0,1,29,4,4,C,1,1,5,0,8,3,7,2,1,passing,0,Wednesday,10,39,0,57.80107252918352
1,auth-service,0,0,258,139,20,C++,1,4,3,2,8,2,12,3,3,failing,11,Tuesday,43,30,1,67.76169855000101
3,payment-gateway,0,0,325,156,12,C++,0,2,1,1,8,1,6,2,1,passing,1,Sunday,22,69,0,58.937324605376816
2,auth-service,0,0,312,41,17,C++,1,2,4,4,3,1,4,5,1,failing,21,Tuesday,63,56,0,60.033660582880046
3,message-queue,0,0,28,79,12,C,0,2,20,0,3,1,21,3,2,failing,0,Tuesday,64,62,1,45.69361309167921
2,data-analytics,1,1,335,97,9,C,0,3,6,4,2,2,23,5,2,passing,13,Tuesday,56,92,0,59.27115035699707
1,auth-service,0,1,214,86,19,Erlang,0,1,6,2,3,1,3,1,0,failing,3,Sunday,35,98,1,81.08456426241796
2,image-processor,1,1,183,199,8,Erlang,1,1,14,3,5,1,17,2,0,failing,20,Sunday,69,94,1,83.85394873434731
3,image-processor,1,0,44,179,9,Java,1,3,10,1,9,2,21,1,0,failing,8,Friday,15,61,0,64.46857361029913
1,iot-controller,0,1,159,41,12,C++,0,4,11,1,2,3,13,0,1,passing,8,Wednesday,42,52,0,50.83030902159648
1,iot-controller,1,1,276,142,2,Java,0,5,3,0,3,1,19,0,3,passing,10,Sunday,26,69,1,46.62536856108609
1,message-queue,1,1,244,75,4,C++,0,1,4,2,5,1,15,3,1,passing,17,Sunday,44,47,0,84.59335933198142
1,auth-service,0,1,119,132,18,Erlang,0,5,14,2,8,3,3,4,1,failing,19,Friday,7,98,1,77.12444532944384
1,image-processor,0,0,179,58,14,Python,0,4,11,4,10,2,5,3,0,failing,13,Thursday,72,57,1,31.211336930409615
3,iot-controller,0,1,367,0,7,C++,1,1,5,4,4,2,7,2,2,passing,2,Friday,3,70,0,57.60468371017576
3,iot-controller,1,0,461,176,7,C++,1,2,12,4,7,1,7,0,3,failing,18,Sunday,23,30,1,94.31510136969356
1,iot-controller,1,0,314,86,16,Java,0,2,19,0,2,3,23,3,2,failing,17,Thursday,24,71,1,51.91170394805011
3,message-queue,0,1,377,10,19,C++,0,3,15,2,6,3,3,0,2,failing,0,Wednesday,32,49,1,77.98760543540071
1,payment-gateway,1,1,57,160,12,Python,0,4,8,5,8,2,24,5,2,failing,4,Thursday,68,59,1,77.40124385300747
2,auth-service,0,1,425,200,5,C,1,3,20,1,2,2,13,0,1,passing,12,Thursday,28,100,0,55.35329332503352
3,message-queue,1,1,170,162,4,Erlang,1,4,18,4,7,3,19,0,3,passing,16,Tuesday,27,56,0,67.90839146735279
1,iot-controller,1,0,218,68,12,Erlang,1,3,4,2,4,3,15,5,3,passing,19,Wednesday,48,58,1,70.78821139536674
3,data-analytics,1,1,91,167,20,C,1,5,6,0,4,2,4,1,0,failing,16,Friday,7,94,1,63.81579024724275
2,iot-controller,1,0,183,183,4,C,0,1,16,5,6,2,6,4,0,failing,20,Friday,1,83,0,96.64208193991992
2,data-analytics,0,1,238,124,14,C++,1,1,8,1,10,2,28,0,0,passing,19,Thursday,50,43,1,84.20364465385751
1,data-analytics,0,1,255,65,5,C++,1,2,19,5,6,3,21,0,0,passing,1,Wednesday,60,57,1,58.801538064102054
3,payment-gateway,1,1,95,21,12,Erlang,0,3,3,5,1,3,7,2,0,passing,1,Saturday,69,57,1,62.738765181561185
1,data-analytics,1,1,128,54,9,C++,1,2,4,4,4,1,23,4,1,passing,12,Friday,54,31,0,67.81552632059693
1,message-queue,0,1,249,102,17,C,0,5,19,4,4,1,18,2,2,failing,8,Saturday,3,61,1,55.2047396842771
1,image-processor,1,0,345,181,3,Java,1,3,2,5,5,3,4,1,3,failing,16,Wednesday,62,40,0,53.92860672370929
1,auth-service,0,0,62,162,5,Python,0,5,9,2,6,3,4,3,2,failing,3,Friday,67,47,1,66.34544798189917
1,image-processor,1,1,169,131,3,Erlang,1,2,6,2,10,3,19,5,1,failing,21,Saturday,47,68,1,73.4981737056728
1,message-queue,1,0,63,29,2,Python,0,4,6,2,9,3,15,5,2,passing,12,Friday,62,33,0,54.421673978913844
2,auth-service,1,0,113,145,2,C++,0,4,9,3,2,3,19,5,0,failing,12,Thursday,48,98,0,70.29861142612248
1,message-queue,1,1,324,93,12,C++,0,1,14,0,1,3,14,3,3,passing,15,Sunday,66,84,1,71.89014476670286
3,message-queue,1,0,199,132,19,Python,0,5,6,2,4,3,27,5,2,passing,9,Thursday,16,42,1,44.99297419435018
2,auth-service,0,0,323,150,5,Erlang,0,4,15,5,9,2,14,4,2,failing,21,Saturday,33,48,1,71.88855176433768
3,data-analytics,1,1,55,45,2,C,1,5,5,1,6,1,18,0,1,passing,4,Tuesday,23,79,0,62.14826060503251
1,iot-controller,0,1,171,162,13,C++,0,2,3,3,8,1,28,1,0,failing,13,Tuesday,35,37,0,67.20700663884728
2,message-queue,1,1,123,64,15,C,1,5,0,0,1,3,15,2,3,failing,12,Monday,54,64,1,43.22590660815698
