commit_id,commit_message_length,repository,lines_added,lines_removed,files_changed,commit_timestamp,commit_hour,is_friday,is_weekend,after_hours,unresolved_comments,reviewers_count,patchsets_count,repo_trs_count,unresolved_trs_count,critical_trs_count,build_failed,programming_language,has_manual_memory_allocation,are_multiple_programming_languages_present,risk_score,risk_level
72acc6e7,64,data-processing,32,33,2,2024-12-05 07:08:29.083211,7,0,0,1,0,1,1,30,5,0,1,JavaScript,0,0,32,medium
e137cdd0,-1,data-processing,52,61,9,2024-06-13 01:48:03.961075,1,0,0,1,0,1,8,13,0,0,0,Python,0,0,30,medium
effdc8ef,14,data-processing,71,9,1,2024-08-04 07:49:10.309177,7,0,1,1,0,2,5,12,0,0,0,Python,0,0,37,medium
0d01c582,34,mobile-app,9,6,1,2024-11-14 18:21:29.246331,18,0,0,1,0,1,1,2,0,0,0,C++,1,0,39,medium
1414f5f1,34,mobile-app,21,19,3,2024-08-05 20:12:11.513145,20,0,0,1,4,2,2,1,0,0,0,Java,0,0,37,medium
5772c147,51,authentication,233,2,1,2024-11-05 00:54:34.844095,0,0,0,1,0,2,1,9,2,0,0,TypeScript,0,0,42,medium
f9387efd,65,frontend-app,68,16,2,2024-10-07 22:33:26.916333,22,0,0,1,2,1,1,15,3,0,0,Java,0,1,36,medium
ad7c5b25,24,data-processing,40,27,1,2024-08-18 20:44:34.257851,20,0,1,1,0,0,1,4,0,0,0,JavaScript,0,0,24,low
d81d0b27,58,mobile-app,12,97,4,2024-03-12 23:22:27.684540,23,0,0,1,1,2,1,15,1,0,0,Python,0,1,33,medium
7c4a578a,23,backend-service,69,17,1,2024-03-17 05:23:58.388833,5,0,1,1,0,0,1,8,0,0,0,Java,0,1,38,medium
2eede852,34,data-processing,54,8,1,2024-05-24 10:56:46.106158,10,1,0,0,0,1,1,6,1,0,0,Swift,0,0,27,low
6e67ea1c,41,frontend-app,219,3,3,2025-02-21 00:31:50.642534,0,1,0,1,0,1,1,69,11,3,0,JavaScript,0,0,50,medium
806f05bb,53,mobile-app,138,11,1,2024-05-17 06:56:44.194495,6,1,0,1,1,2,2,6,0,0,0,TypeScript,0,0,34,medium
641bea37,1,mobile-app,13,13,2,2024-04-19 02:01:08.876094,2,1,0,1,0,2,2,6,0,0,0,Go,0,0,26,low
4dbfd410,32,authentication,16,29,3,2025-01-09 23:51:33.317190,23,0,0,1,0,1,1,92,17,5,0,Java,0,1,49,medium
7a278427,47,data-processing,159,12,5,2024-11-28 17:37:25.051497,17,0,0,0,1,3,1,8,1,0,0,Python,0,0,33,medium
49c51330,53,backend-service,96,104,1,2024-07-01 12:57:53.673024,12,0,0,0,0,2,1,27,7,0,0,C#,0,0,21,low
e66b1803,31,frontend-app,122,5,5,2024-07-22 05:31:23.039120,5,0,0,1,0,1,3,21,3,0,0,Java,0,0,26,low
33f0e56e,35,data-processing,33,79,2,2024-10-09 11:53:40.674446,11,0,0,0,0,3,1,7,0,0,0,Java,0,0,23,low
ee5628f6,63,authentication,52,9,9,2024-06-01 14:48:51.993744,14,0,1,0,3,0,2,2,0,0,0,Go,0,0,42,medium
29e33e72,54,mobile-app,76,15,1,2024-06-25 15:56:29.710313,15,0,0,0,1,3,5,31,3,1,0,C#,0,0,26,low
04fa569e,50,data-processing,20,9,4,2024-08-18 12:23:06.953469,12,0,1,0,0,1,4,8,0,0,0,JavaScript,0,1,40,medium
c02027b5,81,backend-service,7,63,1,2024-05-12 11:29:21.775245,11,0,1,0,0,1,1,25,4,1,0,Ruby,0,0,36,medium
ba3292f5,25,data-processing,60,38,2,2025-01-03 19:24:04.410013,19,1,0,1,0,0,5,17,0,0,0,Go,0,1,48,medium
335c4e57,42,backend-service,54,121,1,2024-09-23 21:00:04.721092,21,0,0,1,2,4,1,41,1,0,0,Python,0,0,31,medium
ec545fe2,19,frontend-app,77,51,12,2024-07-08 06:09:38.633352,6,0,0,1,2,2,2,11,0,0,0,C#,0,1,51,medium
eae228d0,104,backend-service,212,99,2,2024-11-11 10:53:15.655853,10,0,0,0,0,2,1,8,0,0,1,Go,0,1,48,medium
422b6489,62,mobile-app,0,15,2,2024-10-13 04:55:09.793729,4,0,1,1,0,2,1,26,3,0,0,Ruby,0,1,49,medium
8d6f4592,35,mobile-app,24,26,1,2024-06-25 08:42:27.728986,8,0,0,1,1,0,7,9,0,0,0,Java,0,1,44,medium
0cf99f01,40,backend-service,53,0,3,2024-04-04 12:46:44.255098,12,0,0,0,0,0,11,13,0,0,0,Java,0,1,33,medium
6510606d,40,data-processing,5,51,1,2024-05-29 09:18:30.877090,9,0,0,0,0,2,1,12,2,0,0,Java,0,0,24,low
171d03bc,-24,backend-service,5,57,2,2024-11-02 05:32:24.783555,5,0,1,1,0,3,2,3,0,0,0,Java,0,0,29,low
970b1dfa,56,data-processing,180,123,2,2024-05-05 11:03:37.424996,11,0,1,0,1,0,1,3,0,0,0,JavaScript,0,0,34,medium
a48ce1d6,61,data-processing,80,1,1,2024-07-30 19:33:05.004449,19,0,0,1,0,0,1,32,0,0,0,Go,0,0,26,low
ab2e4d33,59,frontend-app,88,10,1,2024-06-05 06:47:58.514596,6,0,0,1,3,1,4,10,2,0,1,JavaScript,0,1,59,medium
d20d7bc5,46,mobile-app,20,14,10,2024-12-30 17:13:36.734599,17,0,0,0,1,0,6,34,4,1,0,C++,1,1,49,medium
9abf106f,62,authentication,22,17,3,2024-10-05 13:03:51.406893,13,0,1,0,0,0,1,11,1,0,1,Python,0,0,31,medium
bd8dcd2f,35,authentication,288,63,1,2024-08-03 03:35:15.895679,3,0,1,1,6,3,4,11,2,0,0,Python,0,1,55,medium
78386add,23,authentication,28,33,4,2024-07-01 21:27:18.468131,21,0,0,1,4,1,11,14,0,0,0,JavaScript,0,0,39,medium
c7500c59,45,mobile-app,25,0,10,2024-09-11 03:06:21.024773,3,0,0,1,0,1,2,21,4,0,0,JavaScript,0,0,42,medium
3f6ccfdc,69,authentication,22,0,1,2024-08-12 19:28:25.518334,19,0,0,1,3,3,1,49,8,0,1,Ruby,0,1,53,medium
3a97727b,48,frontend-app,44,31,1,2024-09-23 11:17:56.780050,11,0,0,0,0,1,2,5,0,0,0,Python,0,1,30,medium
ccca4174,61,data-processing,21,14,4,2025-02-09 07:37:03.242213,7,0,1,1,0,0,2,55,13,5,0,Python,0,0,41,medium
06ab2fd7,24,mobile-app,22,1,1,2024-07-23 21:47:24.857893,21,0,0,1,1,2,2,8,2,0,0,Go,0,0,32,medium
12f9f1dd,109,mobile-app,5,2,3,2025-02-09 21:35:33.687303,21,0,1,1,0,1,1,34,7,2,0,Go,0,1,41,medium
34c7998b,25,authentication,79,11,3,2025-01-15 17:15:34.458598,17,0,0,0,2,1,1,60,9,1,0,Ruby,0,0,25,low
3866f4a6,69,backend-service,12,26,7,2024-05-13 18:10:17.601358,18,0,0,1,0,2,2,37,8,0,0,Python,0,0,30,medium
eba85a06,47,authentication,60,10,20,2024-12-27 01:31:07.495417,1,1,0,1,0,2,2,49,9,0,0,JavaScript,0,0,31,medium
8e8fa182,61,data-processing,112,15,12,2025-02-21 06:04:27.163948,6,1,0,1,4,1,1,35,4,0,0,JavaScript,0,0,49,medium
e6b78e6b,43,backend-service,80,10,1,2024-08-02 12:59:22.096452,12,1,0,0,0,1,3,1,0,0,0,JavaScript,0,1,29,low
32d23e91,68,mobile-app,51,54,1,2024-07-03 19:48:40.758313,19,0,0,1,0,2,1,0,0,0,0,Python,0,0,26,low
7b7188a1,32,frontend-app,1,69,2,2025-01-18 07:39:07.180811,7,0,1,1,0,3,2,41,8,0,0,TypeScript,0,0,19,low
4f34dc90,18,frontend-app,123,21,2,2025-02-25 23:48:54.941294,23,0,0,1,0,2,1,6,1,0,0,Swift,0,0,28,low
1d9a14d9,42,backend-service,18,1,1,2024-07-20 17:11:04.951285,17,0,1,0,0,2,2,4,0,0,0,Python,0,1,36,medium
dd4f9868,98,backend-service,122,3,2,2024-07-23 12:39:53.345313,12,0,0,0,0,1,12,5,0,0,0,C#,0,0,39,medium
69174759,24,authentication,87,37,3,2025-01-28 00:00:55.799832,0,0,0,1,0,1,1,30,1,0,0,C#,0,0,34,medium
6baef9ef,33,authentication,4,128,8,2024-10-25 02:40:47.261756,2,1,0,1,1,0,2,3,0,0,0,Python,0,0,26,low
537a20a5,67,data-processing,25,11,3,2024-07-23 02:19:40.835062,2,0,0,1,0,3,6,6,0,0,0,Ruby,0,0,31,medium
1bb447b6,51,frontend-app,191,128,9,2024-09-28 11:06:53.822846,11,0,1,0,1,3,1,10,2,0,0,JavaScript,0,0,30,medium
4a6cd40a,28,backend-service,24,50,2,2024-12-23 14:30:02.557279,14,0,0,0,3,2,1,13,2,0,0,Python,0,0,36,medium
e06c4c79,0,frontend-app,125,15,4,2024-10-21 05:01:48.542001,5,0,0,1,2,2,3,21,3,0,1,Java,0,0,41,medium
168875db,62,backend-service,180,51,8,2024-12-03 17:30:32.900827,17,0,0,0,2,3,3,3,0,0,0,TypeScript,0,1,38,medium
27dec303,35,authentication,133,1,6,2024-05-04 22:59:09.184880,22,0,1,1,1,1,1,34,8,2,0,TypeScript,0,0,29,low
5655694f,43,backend-service,61,0,1,2024-12-06 03:56:37.829313,3,1,0,1,2,2,1,20,5,1,0,TypeScript,0,0,32,medium
4807f7ca,63,frontend-app,85,3,4,2024-12-19 11:57:02.905552,11,0,0,0,0,2,2,53,5,1,0,Java,0,1,28,low
19409cda,76,data-processing,170,39,1,2024-10-24 23:16:06.053498,23,0,0,1,0,0,1,8,0,0,0,JavaScript,0,1,45,medium
2ba0db79,52,frontend-app,3,75,14,2024-05-25 16:45:12.365664,16,0,1,0,0,1,1,7,1,0,1,C++,1,0,39,medium
a40268e0,6,authentication,90,38,2,2024-03-19 11:33:18.019825,11,0,0,0,0,0,3,23,3,0,0,Java,0,1,45,medium
37ab392d,33,mobile-app,7,46,4,2024-11-15 02:46:35.504415,2,1,0,1,6,0,1,20,0,0,1,JavaScript,0,0,50,medium
c658e53c,38,data-processing,21,146,1,2024-08-01 20:40:18.915494,20,0,0,1,0,2,1,21,2,0,0,Python,0,1,25,low
8c07bad4,46,mobile-app,164,25,15,2024-11-11 04:08:09.196349,4,0,0,1,2,1,3,37,0,0,0,Python,0,0,51,medium
a601e118,45,frontend-app,80,5,1,2024-12-31 17:29:26.303925,17,0,0,0,3,2,1,2,0,0,0,Go,0,0,25,low
cdc96115,20,mobile-app,105,23,1,2024-04-20 20:40:11.991205,20,0,1,1,2,1,1,31,5,1,0,JavaScript,0,1,46,medium
32887b09,27,mobile-app,56,0,1,2024-12-13 13:02:43.813784,13,1,0,0,2,0,1,23,0,0,1,Python,0,1,43,medium
f6894a10,37,frontend-app,102,1,2,2024-11-02 04:26:30.161080,4,0,1,1,4,1,1,13,3,0,1,TypeScript,0,1,49,medium
231011f1,43,authentication,105,33,1,2024-04-21 03:58:53.778657,3,0,1,1,0,0,1,0,0,0,0,C++,1,0,47,medium
b699908b,74,frontend-app,30,4,2,2024-09-09 05:32:28.575294,5,0,0,1,0,2,1,2,0,0,0,JavaScript,0,0,27,low
c186adac,44,frontend-app,90,1,11,2024-06-23 23:51:30.400361,23,0,1,1,1,1,5,25,3,0,0,C++,1,1,66,high
d5d70200,51,frontend-app,23,54,1,2024-04-01 17:21:19.556542,17,0,0,0,0,2,1,20,0,0,0,Ruby,0,0,22,low
dd166122,26,mobile-app,95,3,1,2024-07-22 22:17:57.465272,22,0,0,1,2,1,1,74,13,0,0,Java,0,0,39,medium
4a458355,129,mobile-app,12,51,3,2024-10-29 11:36:24.287828,11,0,0,0,0,1,1,112,15,1,0,Python,0,0,22,low
8a3ae4aa,38,frontend-app,68,7,4,2024-08-04 17:38:45.954778,17,0,1,0,1,0,3,27,2,0,0,PHP,0,0,31,medium
0677acb5,3,frontend-app,23,14,14,2024-04-08 04:42:21.270043,4,0,0,1,0,4,1,41,9,2,0,Python,0,1,42,medium
231d479b,82,data-processing,38,11,3,2024-09-26 21:04:25.495785,21,0,0,1,1,3,1,25,6,2,0,C#,0,0,38,medium
a7f2859e,53,data-processing,13,9,13,2024-03-24 16:14:39.922140,16,0,1,0,0,1,1,40,6,0,0,C#,0,0,25,low
f4d1ecca,30,mobile-app,63,18,4,2024-04-14 09:34:11.236589,9,0,1,0,7,0,1,21,3,0,0,Python,0,0,55,medium
9ca8d9d0,2,mobile-app,115,5,14,2024-12-29 14:59:45.786606,14,0,1,0,0,1,1,14,2,0,0,Python,0,0,29,low
917b00f8,85,data-processing,119,19,1,2024-06-13 15:25:31.322575,15,0,0,0,0,2,1,0,0,0,0,Python,0,0,11,low
ebf45c0b,49,frontend-app,89,25,8,2024-10-31 19:54:56.748344,19,0,0,1,3,3,1,2,0,0,0,Go,0,1,42,medium
19e8348b,64,data-processing,3,26,10,2024-07-08 07:49:32.025209,7,0,0,1,0,1,1,0,0,0,0,Python,0,0,27,low
095c408c,44,backend-service,349,131,1,2025-01-22 07:39:15.475101,7,0,0,1,3,2,1,14,2,0,0,JavaScript,0,1,46,medium
8681fc4d,70,data-processing,83,5,1,2024-08-14 05:53:01.815832,5,0,0,1,0,0,2,70,7,0,0,Java,0,1,41,medium
97f7331d,58,data-processing,77,21,7,2024-09-14 05:31:10.347155,5,0,1,1,2,1,6,22,3,0,0,JavaScript,0,1,43,medium
2049e308,80,data-processing,53,64,2,2024-04-24 23:45:13.162726,23,0,0,1,0,3,2,10,1,0,0,Java,0,1,31,medium
03205f9d,60,mobile-app,10,45,34,2024-05-28 21:20:47.886325,21,0,0,1,3,1,2,26,0,0,1,C++,1,0,56,medium
afdb7aac,56,data-processing,40,15,4,2025-02-05 02:57:34.878599,2,0,0,1,2,2,1,34,7,1,1,TypeScript,0,0,32,medium
48d7a3bc,9,mobile-app,66,0,1,2024-07-02 10:32:45.651125,10,0,0,0,2,0,1,11,1,0,1,JavaScript,0,0,41,medium
041b2d5f,90,frontend-app,30,8,1,2024-07-30 01:31:01.751475,1,0,0,1,0,3,1,9,0,0,0,JavaScript,0,0,23,low
512945a3,11,mobile-app,65,27,1,2024-04-16 12:27:00.458080,12,0,0,0,1,0,2,15,1,0,0,TypeScript,0,1,35,medium
4f49fe6d,59,data-processing,115,65,5,2024-04-12 10:08:39.932131,10,1,0,0,0,2,6,1,0,0,1,C++,1,1,60,high
f2411ef2,20,mobile-app,31,3,2,2024-09-02 06:02:30.845079,6,0,0,1,0,1,3,15,4,0,0,C#,0,0,33,medium
e8c0d670,20,data-processing,50,39,1,2025-01-15 08:22:45.788815,8,0,0,1,0,1,2,4,0,0,0,Python,0,1,24,low
6fb516d7,90,data-processing,64,3,2,2024-09-07 01:50:52.358629,1,0,1,1,0,1,1,20,2,0,0,Java,0,0,37,medium
c38fb594,24,mobile-app,67,63,8,2024-04-07 20:34:26.894695,20,0,1,1,1,1,1,36,5,1,0,PHP,0,0,38,medium
21d70d08,63,backend-service,32,10,6,2024-12-26 11:33:51.124654,11,0,0,0,0,1,2,2,0,0,1,C#,0,0,42,medium
e1ddb70f,65,frontend-app,35,28,1,2024-07-09 06:05:30.042967,6,0,0,1,0,2,1,0,0,0,0,C++,1,0,25,low
a5fa41f7,83,mobile-app,63,28,1,2024-08-13 06:54:41.969157,6,0,0,1,0,0,10,2,0,0,0,C++,1,0,47,medium
60248b5f,65,data-processing,28,17,4,2024-03-25 00:17:55.305146,0,0,0,1,0,3,1,1,0,0,0,C++,1,1,41,medium
af18cd96,26,backend-service,16,15,1,2025-01-30 17:08:19.641885,17,0,0,0,1,1,1,32,1,0,0,TypeScript,0,0,31,medium
a81ab422,-9,mobile-app,42,66,3,2024-07-26 23:07:43.338131,23,1,0,1,0,2,2,102,17,4,0,JavaScript,0,0,27,low
d59b5ac7,42,mobile-app,68,52,2,2024-11-17 10:22:30.728424,10,0,1,0,6,1,1,23,3,0,0,C++,1,1,66,high
e4588f2e,19,authentication,76,4,3,2024-07-08 15:09:07.580200,15,0,0,0,3,3,4,52,2,0,0,JavaScript,0,1,46,medium
e7ddf96f,46,mobile-app,34,5,18,2024-09-18 21:58:06.981465,21,0,0,1,1,2,1,19,4,0,0,JavaScript,0,1,34,medium
ba2bb250,67,mobile-app,82,4,5,2025-01-03 08:09:34.051879,8,1,0,1,0,2,1,6,0,0,0,JavaScript,0,0,20,low
c016d83f,18,data-processing,8,115,3,2024-08-15 00:45:26.856550,0,0,0,1,1,0,2,14,0,0,0,Python,0,0,43,medium
db570bb3,37,backend-service,66,214,9,2025-01-29 20:23:31.071634,20,0,0,1,1,1,6,40,11,2,1,C#,0,0,51,medium
29c9f085,10,backend-service,140,15,1,2024-09-14 10:07:28.233052,10,0,1,0,2,1,1,74,3,0,0,Ruby,0,0,47,medium
4e0b01de,41,frontend-app,131,5,8,2024-09-24 07:21:13.291836,7,0,0,1,1,2,3,3,0,0,0,C++,1,0,41,medium
02d88d49,47,authentication,48,6,2,2024-09-09 06:32:48.287446,6,0,0,1,1,2,1,14,3,1,0,Java,0,1,42,medium
97adcad5,67,data-processing,11,45,1,2024-07-28 14:30:48.599201,14,0,1,0,0,3,1,30,3,0,0,Python,0,1,46,medium
1372b493,30,backend-service,3,180,1,2024-10-29 03:13:56.484032,3,0,0,1,0,1,1,2,0,0,0,Java,0,1,37,medium
83df176c,62,frontend-app,3,21,17,2024-08-16 15:19:32.427635,15,1,0,0,0,3,1,14,0,0,0,C++,1,0,32,medium
765b4d0a,33,data-processing,7,69,1,2024-08-07 09:17:18.422315,9,0,0,0,0,0,3,26,1,0,0,Python,0,1,21,low
f0301415,33,authentication,0,16,1,2025-01-05 06:57:40.301141,6,0,1,1,0,2,1,0,0,0,0,Go,0,0,15,low
e997225d,18,authentication,251,57,12,2024-04-27 07:18:35.578137,7,0,1,1,0,1,1,37,6,0,0,JavaScript,0,1,48,medium
3a4a10d6,34,mobile-app,59,6,1,2024-07-15 12:27:56.447175,12,0,0,0,1,3,1,12,1,0,0,JavaScript,0,0,18,low
39fec72e,83,data-processing,113,94,4,2024-07-25 02:39:25.699818,2,0,0,1,0,0,1,36,8,1,0,Ruby,0,1,38,medium
f5e644da,64,data-processing,156,21,3,2024-12-12 11:55:43.678060,11,0,0,0,1,2,2,1,0,0,0,JavaScript,0,1,38,medium
40c3b5be,32,authentication,14,56,3,2025-02-26 21:33:10.187168,21,0,0,1,0,2,3,1,0,0,0,Java,0,0,28,low
8e5ff15a,8,backend-service,0,108,4,2024-03-21 21:19:11.053317,21,0,0,1,0,1,3,21,1,0,0,JavaScript,0,0,30,medium
7ccbf9da,19,backend-service,17,4,5,2024-03-19 06:22:28.995319,6,0,0,1,0,2,1,68,0,0,0,JavaScript,0,1,48,medium
37ec0920,29,authentication,138,42,2,2024-08-12 09:16:15.162359,9,0,0,0,2,1,4,20,2,0,0,Python,0,0,36,medium
311039f8,91,mobile-app,2,108,5,2025-02-06 06:32:11.219679,6,0,0,1,0,3,3,21,2,0,0,Java,0,1,25,low
cc97de9d,14,frontend-app,34,105,1,2024-06-21 02:58:14.133794,2,1,0,1,1,0,2,57,5,1,0,JavaScript,0,1,49,medium
